lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
36,2,159.3,7,20,4,2,0,0,3,1
86,0,100.0,9,9,2,2,0,0,0,1
59,1,109.8,8,29,4,3,1,0,0,1
9,2,105.0,9,11,4,1,0,0,0,1
86,1,65.0,5,20,3,2,1,0,0,1
2,0,72.2,9,23,4,2,0,0,0,1
206,1,119.85,9,27,4,4,0,0,0,0
148,0,105.3,5,5,4,3,0,0,0,1
102,0,80.0,10,16,3,2,0,1,0,0
8,1,104.5,11,6,4,2,2,0,0,1
18,0,97.0,1,15,4,5,2,0,3,1
26,0,87.0,3,7,3,4,1,0,0,1
107,0,152.1,8,24,4,4,0,0,3,0
9,0,75.0,9,20,3,3,2,0,3,1
32,0,73.0,11,20,3,2,0,0,0,1
150,0,106.0,7,25,2,4,1,0,4,1
80,3,147.9,7,8,4,2,1,0,3,1
0,0,126.0,10,11,4,0,1,0,0,1
132,0,55.63,12,20,4,2,2,0,0,1
188,0,130.0,6,15,4,2,0,0,0,0
147,2,85.5,10,27,4,1,0,0,0,0
8,0,107.0,6,26,3,1,2,0,3,1
69,0,120.0,6,12,3,4,2,0,0,0
105,0,75.0,4,6,3,1,0,0,0,0
38,0,137.52,9,16,4,2,0,0,4,1
4,0,80.0,8,23,4,3,2,0,0,0
92,0,99.45,4,11,4,5,1,0,3,0
38,1,88.0,11,3,4,2,0,3,0,0
4,1,0.0,2,27,1,0,0,0,0,1
280,0,100.0,9,19,3,2,1,0,0,0
39,0,101.5,8,14,3,2,0,1,0,1
155,0,128.7,6,27,4,2,1,0,0,0
60,0,75.48,6,21,3,3,0,0,0,1
92,0,100.0,3,26,3,1,2,0,0,0
47,1,74.8,11,20,4,5,2,3,0,0
258,0,110.0,10,16,3,0,1,0,0,0
320,1,115.0,8,18,3,2,0,1,0,0
198,0,90.0,9,9,3,2,1,0,0,0
49,0,93.15,7,11,4,0,1,3,0,0
418,0,107.0,9,26,3,2,1,1,0,0
11,0,99.0,5,25,4,1,0,3,0,1
50,1,94.5,10,21,4,2,0,0,0,1
8,2,140.0,4,27,4,3,0,0,0,1
14,1,112.0,11,3,4,1,0,0,0,0
102,0,101.5,10,16,3,2,0,1,0,0
71,0,142.5,10,22,3,1,1,1,3,1
31,1,69.5,2,6,4,1,2,3,0,1
18,3,158.0,5,21,4,1,1,0,3,1
14,1,98.67,10,30,3,2,1,0,3,1
11,0,69.6,1,12,4,2,0,0,0,1
8,1,108.57,5,10,4,2,0,0,3,0
18,2,98.6,5,29,4,2,2,0,0,1
